Driver,Critical_event,Critical_event_order_exposure,Sequence_exposure_critical_events,Crash_other_vehicle,Crash_guardrail,First_glance_response_time,First_glance_direction
0,A,3,CBA,FALSE,TRUE,0.4,Eyes_Forward
1,A,1,ABC,FALSE,FALSE,0.5,Eyes_Forward
2,A,1,ACB,FALSE,FALSE,0.5,Eyes_Forward
3,A,2,BAC,FALSE,FALSE,0.4,Eyes_Left
4,A,2,BAC,FALSE,FALSE,0.4,Eyes_Forward
6,A,2,CAB,FALSE,FALSE,1.2,Eyes_Left
7,A,2,CAB,FALSE,FALSE,0.7,Eyes_Forward
8,A,3,CBA,FALSE,FALSE,0.5,Eyes_Right
9,A,1,ABC,FALSE,FALSE,0.5,Eyes_Dashboard
11,A,2,BAC,FALSE,FALSE,0.5,Eyes_Left
12,A,3,BCA,TRUE,FALSE,0.6,Eyes_Left
13,A,2,CAB,FALSE,FALSE,0.5,Eyes_Forward
14,A,3,CBA,FALSE,FALSE,0.4,Eyes_Left
15,A,1,ABC,FALSE,FALSE,0.6,Eyes_Forward
17,A,2,BAC,FALSE,FALSE,0.4,Eyes_Forward
18,A,3,BCA,FALSE,FALSE,0.3,Eyes_Left
19,A,2,CAB,FALSE,FALSE,0.6,Eyes_Forward
21,A,1,ABC,FALSE,FALSE,0.3,Eyes_Forward
22,A,1,ACB,TRUE,FALSE,0.4,Eyes_Forward
23,A,2,BAC,FALSE,FALSE,0.5,Eyes_Dashboard
24,A,3,BCA,TRUE,FALSE,0.8,Eyes_Forward
25,A,2,CAB,TRUE,FALSE,0.4,Eyes_Forward
26,A,3,CBA,FALSE,FALSE,0.5,Eyes_Forward
27,A,1,ABC,FALSE,FALSE,0.8,Eyes_Forward
28,A,1,ACB,FALSE,FALSE,0.4,Eyes_Dashboard
29,A,2,BAC,FALSE,FALSE,0.6,Eyes_Forward
30,A,3,BCA,FALSE,FALSE,0.6,Eyes_Forward
32,A,3,CBA,FALSE,FALSE,0.4,Eyes_Left
33,A,1,ABC,FALSE,FALSE,0.6,Eyes_Dashboard
34,A,1,ACB,FALSE,FALSE,0.5,Eyes_Forward
35,A,2,BAC,FALSE,FALSE,0.6,Eyes_Forward
37,A,2,CAB,FALSE,FALSE,0.5,Eyes_Forward
38,A,3,CBA,FALSE,FALSE,0.6,Eyes_Left
39,A,1,ABC,FALSE,FALSE,0.3,Eyes_Forward
40,A,1,ACB,TRUE,FALSE,0.7,Eyes_Forward
41,A,2,BAC,FALSE,FALSE,0.4,Eyes_Forward
42,A,3,BCA,FALSE,TRUE,0.6,Eyes_Left
43,A,2,CAB,FALSE,FALSE,0.6,Eyes_Forward
44,A,3,CBA,FALSE,FALSE,0.4,Eyes_Left
0,B,2,CBA,FALSE,FALSE,0.4,Eyes_Forward
1,B,2,ABC,FALSE,FALSE,0.4,Eyes_Dashboard
2,B,3,ACB,FALSE,FALSE,0.4,Eyes_Forward
4,B,1,BAC,FALSE,FALSE,0.5,Eyes_Dashboard
